segment_id,user_id,8-8_DU1,8-8_DU2,8-8_DUtotal,65-32_DU1,65-32_DU2,65-32_DUtotal,69-32_DU1,69-32_DU2,69-32_DUtotal,16-16_DU1,16-16_DU2,16-16_DUtotal,73-32_DU1,73-32_DU2,73-32_DUtotal,32-83_DU1,32-83_DU2,32-83_DUtotal,73-78_DU1,73-78_DU2,73-78_DUtotal,32-67_DU1,32-67_DU2,32-67_DUtotal,82-69_DU1,82-69_DU2,82-69_DUtotal,32-80_DU1,32-80_DU2,32-80_DUtotal,32-68_DU1,32-68_DU2,32-68_DUtotal,32-65_DU1,32-65_DU2,32-65_DUtotal
0001_1,0001,0.06,0.0099,0.0238,0.111,0.099,0.24,0.126,0.0975,0.232,0.0041,0.028,0.00365,0.084,0.11,0.254,0.09,0.142,0.308,0.099,0.125,0.212,0.1,0.122,0.0265,0.088,0.127,0.222,0.095,0.0925,0.03095,0.106,0.115,0.0262,0.079,0.116,0.0295
0001_2,0001,0.043,0.0106,0.0234,0.1305,0.0895,0.267,0.119,0.09,0.243,0.004,0.0276,0.00315,0.084,0.104,0.274,0.091,0.121,0.287,0.103,0.106,0.2335,0.1,0.121,0.0307,0.104,0.125,0.218,0.086,0.0855,0.02765,0.084,0.1305,0.02955,0.11,0.134,0.0302
0002_1,0002,0.07,0.0069,0.0223,0.07,0.068,0.205,0.069,0.069,0.217,0.0033,0.02165,0.002825,0.061,0.07,0.319,0.069,0.07,0.226,0.061,0.061,0.2785,0.0695,0.07,0.0263,0.069,0.061,0.241,0.069,0.0685,0.042,0.069,0.0695,0.02145,0.069,0.079,0.0242
0002_2,0002,0.069,0.0061,0.0226,0.078,0.0645,0.2015,0.07,0.069,0.1935,0.0033,0.01825,0.002155,0.0615,0.0705,0.3285,0.077,0.079,0.234,0.061,0.061,0.272,0.0645,0.0695,0.0321,0.07,0.07,0.222,0.067,0.069,0.0318,0.07,0.07,0.0274,0.07,0.079,0.0288
0003_1,0003,0.071,0.0072,0.0217,0.0805,0.067,0.163,0.0715,0.0715,0.1665,0.0041,0.0749,0.0079,0.0625,0.072,0.247,0.0685,0.0815,0.172,0.062,0.0715,0.2245,0.069,0.065,0.0163,0.061,0.072,0.148,0.0665,0.0725,0.02635,0.0705,0.0735,0.01655,0.071,0.0815,0.0184
0003_2,0003,0.042,0.0097,0.0224,0.081,0.064,0.166,0.074,0.0625,0.163,0.0041,0.0308,0.00356,0.057,0.061,0.233,0.071,0.082,0.183,0.061,0.063,0.2075,0.07,0.071,0.0155,0.0695,0.0735,0.1725,0.062,0.072,0.0257,0.065,0.0775,0.01625,0.061,0.072,0.0183
0004_1,0004,0.037,0.02575,0.03315,0.143,0.122,0.341,0.1325,0.1295,0.405,0.0382,0.0228,0.00753,0.112,0.137,0.344,0.1245,0.1305,0.3915,0.0985,0.1135,0.3245,0.111,0.1115,0.03915,0.106,0.13,0.284,0.14,0.106,0.04345,0.1255,0.1245,0.04185,0.1205,0.1405,0.03385
0004_2,0004,0.069,0.0116,0.0275,0.1595,0.1325,0.3455,0.143,0.143,0.383,0.0037,0.03505,0.004615,0.116,0.143,0.359,0.143,0.138,0.382,0.116,0.122,0.351,0.117,0.122,0.0373,0.117,0.143,0.328,0.146,0.122,0.04285,0.137,0.133,0.0404,0.1275,0.138,0.03855
0004_3,0004,0.038,0.014,0.029,0.159,0.1695,0.4605,0.1555,0.149,0.3865,0.0037,0.0334,0.00372,0.138,0.164,0.421,0.146,0.135,0.36,0.1275,0.133,0.3835,0.154,0.141,0.0401,0.1245,0.1465,0.329,0.1565,0.1405,0.04665,0.17,0.151,0.0394,0.154,0.159,0.0405
0005_1,0005,0.08,0.008,0.0222,0.101,0.095,0.2015,0.0955,0.096,0.216,0.0037,0.0122,0.00159,0.09,0.095,0.269,0.096,0.097,0.252,0.085,0.096,0.257,0.1005,0.09,0.02705,0.0955,0.0985,0.2675,0.0855,0.09,0.03145,0.091,0.085,0.0217,0.095,0.106,0.029
0005_2,0005,0.08,0.008,0.0221,0.106,0.096,0.21,0.106,0.09,0.22,0.0465,0.0175,0.00598,0.085,0.09,0.275,0.0925,0.1085,0.25,0.085,0.0825,0.2555,0.085,0.09,0.0241,0.09,0.106,0.266,0.085,0.09,0.03185,0.0915,0.0985,0.02275,0.09,0.101,0.0242
0006_1,0006,0.064,0.0076,0.0224,0.099,0.114,0.244,0.114,0.119,0.254,0.0039,0.0369,0.00548,0.1,0.122,0.24,0.117,0.1075,0.2635,0.082,0.1495,0.234,0.124,0.115,0.0309,0.06,0.129,0.189,0.11,0.139,0.034,0.119,0.1295,0.02935,0.105,0.103,0.0249
0007_1,0007,0.074,0.0096,0.02705,0.138,0.107,0.301,0.116,0.106,0.251,0.0037,0.09225,0.0096,0.09,0.0975,0.2405,0.1165,0.1615,0.405,0.09,0.085,0.283,0.114,0.1435,0.04375,0.091,0.117,0.245,0.106,0.101,0.0326,0.101,0.165,0.0334,0.106,0.148,0.0447
0007_2,0007,0.037,0.01435,0.02545,0.153,0.101,0.286,0.116,0.111,0.256,0.0037,0.0316,0.003535,0.09,0.101,0.2635,0.106,0.154,0.329,0.0945,0.096,0.302,0.106,0.149,0.0368,0.09,0.127,0.274,0.101,0.1055,0.03905,0.106,0.138,0.0332,0.1035,0.164,0.03255
0008_1,0008,0.048,0.0092,0.02485,0.082,0.067,0.19,0.071,0.065,0.174,,,,0.065,0.0685,0.2385,0.0655,0.0815,0.2405,0.085,0.0785,0.171,0.069,0.089,0.0224,0.062,0.074,0.156,0.0715,0.075,0.02855,0.06,0.105,0.02395,0.0725,0.0775,0.02165
0008_2,0008,0.064,0.0078,0.0239,0.084,0.061,0.161,0.071,0.067,0.177,0.3221,0.0553,0.27521,0.065,0.0715,0.236,0.067,0.079,0.2,0.091,0.083,0.175,0.0605,0.079,0.02965,0.0765,0.079,0.1695,0.065,0.0785,0.0295,0.07,0.083,0.0218,0.062,0.087,0.0236
0009_1,0009,0.065,0.0075,0.023,0.1235,0.09,0.273,0.114,0.091,0.236,0.0024,0.0095,0.001305,0.097,0.097,0.241,0.0945,0.117,0.519,0.099,0.1165,0.283,0.118,0.124,0.0418,0.091,0.106,0.201,0.091,0.06,0.0515,0.0995,0.1335,0.0322,0.0785,0.119,0.05995
